Food,Calories,Fat,Protein,Carbohydrate,Category
nectarine,66,0.5,1.6,15.8,fruit
kiwifruit gold,51,0.2,0.8,12.8,fruit
prickly pear raw,8,0.072,0.001,1.9,fruit
pineapple,45,0.1,0.5,11.8,fruit
muscadine grapes,3,0.056,0.014,0.8,fruit
tangerine,40,0.2,0.6,10.1,fruit
prunes,237,0.5,2.6,62.3,fruit
banana,134,0.5,1.6,34.3,fruit
raspberries,5,0.034,0.1,1.2,fruit
apricot,17,0.1,0.5,3.9,fruit
strawberry guava,4,0.008,0.01,1,fruit
kiwifruit green,42,0.4,0.8,10.1,fruit
figs,37,0.2,0.4,9.6,fruit
clementine,35,0.1,0.6,8.9,fruit
orange,86,0.2,1.7,21.6,fruit
bartlett pear,112,0.3,0.7,26.6,fruit
mulberries,6,0.049,0.2,1.5,fruit
java plum,2,0.029,0.034,0.5,fruit
prune puree,46,0.02,0.4,11.7,fruit
applesauce,102,0.2,0.4,27.5,fruit
blackberries raw,62,0.7,2,13.8,fruit
plum,30,0.2,0.5,7.5,fruit
american grapes,2,0.087,0.035,0.4,fruit
peach,59,0.4,1.4,14.3,fruit
honeydew melon,64,0.2,1,16.1,fruit
lemons,17,0.2,0.6,5.4,fruit
lime,20,0.1,0.5,7.1,fruit
pomegranate,117,1.6,2.4,26.4,fruit
gooseberries,66,0.9,1.3,15.3,fruit
asian pear,51,0.3,0.6,13,fruit
horned melon kiwano,92,2.6,3.7,15.8,fruit
grapefruit,53,0.2,1,13.3,fruit
japanese persimmon,118,0.3,1,31.2,fruit
pink lady apple,18,0.1,0.1,3.9,fruit
maraschino cherries,8,0.083,0.06,2.1,fruit
crab apple,84,0.3,0.4,21.9,fruit
apple,95,0.3,0.5,25.1,fruit
cantaloupe melon,60,0.3,1.5,14.4,fruit
prickly pear cooked,7,0.043,0.091,1.6,fruit
guava,37,0.5,1.4,7.9,fruit
strawberries,4,0.069,0.01,0.9,fruit
japanese persimmon dried,93,0.2,0.5,25,fruit
watermelon,86,0.4,1.7,21.6,fruit
elderberries,106,0.7,1,26.7,fruit
kumquat,13,0.2,0.4,3,fruit
breadfruit,227,0.5,2.4,59.7,fruit
pear,101,0.2,0.6,27.1,fruit
sour cherries,52,0.3,1,12.5,fruit
plantain raw,218,0.6,2.3,57.1,fruit
blackberries frozen,97,0.6,1.8,23.7,fruit
cherries,5,0.056,0.068,1.3,fruit
carambola starfruit,26,0.3,0.9,5.7,fruit
chayote cooked,35,0.8,1,7.2,fruit
white grapefruit,78,0.2,1.6,19.8,fruit
cherimoya,176,1.6,3.7,41.6,fruit
melon balls,57,0.4,1.5,13.7,fruit
golden delicious apple,62,0.2,0.3,14.8,fruit
quince,52,0.012,0.4,14.1,fruit
mango,202,1.3,2.8,50.3,fruit
wild plum,147,0.3,0.7,35.3,fruit
groundcherries,74,1,2.7,15.7,fruit
persimmon,32,0.1,0.2,8.4,fruit
grapes,3,0.044,0.045,0.9,fruit
figs canned,14,0.039,0.1,3.8,fruit
prunes canned,246,0.5,2,65.1,fruit
pineapples canned,28,0.05,0.2,7.4,fruit
prune plums canned,27,0.075,0.2,7,fruit
tangerines canned,92,0.1,1.5,23.8,fruit
fruit cocktail canned,109,0.053,1.1,28.1,fruit
sour cherries canned,189,0.3,1.9,48.6,fruit
mangosteen canned,143,1.1,0.8,35.1,fruit
strawberries canned,234,0.7,1.4,59.8,fruit
peach canned,110,0.094,1.6,28.9,fruit
fruit salad canned,125,0.008,1.3,32.5,fruit
gooseberries canned,184,0.5,1.6,47.3,fruit
grapefruit canned,88,0.2,1.4,22.3,fruit
pear canned,38,0.001,0.3,9.8,fruit
raspberries canned,233,0.3,2.1,59.8,fruit
papaya canned,80,0.2,0.001,21.8,fruit
grapes canned,98,0.3,1.2,25.2,fruit
apple dried,145,0.2,0.6,39.1,fruit
peach dried,199,0.6,3,50.8,fruit
pear dried,94,0.2,0.7,25.1,fruit
raisins,90,0.056,1,23.8,fruit
prune plums dried,308,0.5,2.7,81.5,fruit
cranberries dried,370,1.6,0.053,98.8,fruit
figs dried,21,0.008,0.3,5.4,fruit
jackfruit,33,0.2,0.6,8.1,fruit
coconut whole coconut,3336,71.5,0,0,fruit
prickly pear,42,0.5,0.8,9.9,fruit
lychee,6,0.016,0.024,1.6,fruit
naranjilla lulo pulp,30,0.3,0.5,7.1,fruit
coconut meat dried,187,18.3,1.9,6.7,fruit
passion fruit,17,0.1,0.4,4.2,fruit
coconut meat,1405,133,13.2,60.5,fruit
soursop,149,0.7,2.3,37.9,fruit
papaya,62,0.4,0.7,15.7,fruit
acerola cherry,2,0.052,0.079,0.4,fruit
casaba melon,48,0.2,1.9,11.2,fruit
durian,51,1.9,0.5,9.5,fruit
sprouted soybean raw,85,4.7,9.2,6.7,vegetable
soybean raw,830,37.1,67.9,56.1,vegetable
tempeh cooked,55,3.2,5.1,2.6,vegetable
natto,169,8.8,14.2,11.5,vegetable
gourd cooked,100,0.6,1.2,25.5,vegetable
cauliflower raw,3,0.081,0.2,0.6,vegetable
red cabbage raw,53,0.3,2.4,12.5,vegetable
broccoli raab raw,9,0.2,1.3,1.1,vegetable
napa cabbage cooked,13,0.2,1.2,2.4,vegetable
shallots raw,18,0.061,0.6,4.2,vegetable
bamboo shoots raw,49,0.5,4.7,9.4,vegetable
red lettuce,4,0.08,0.4,0.6,vegetable
broccoli cooked,98,1.1,6.7,20.1,vegetable
eggplant raw,115,0.8,4.5,26.9,vegetable
leeks raw,54,0.3,1.3,12.6,vegetable
celery cooked,7,0.098,0.3,1.5,vegetable
serrano pepper,2,0.075,0.1,0.4,vegetable
nopales raw,14,0.063,1.1,2.9,vegetable
eggplant cooked,33,0.2,0.8,8.1,vegetable
asparagus cooked,3,0.074,0.4,0.6,vegetable
oriental radish dried,314,0.8,9.2,73.5,vegetable
tomatillos,42,1.3,1.3,7.7,vegetable
taro shoots raw,9,0.069,0.8,2,vegetable
acorn squash raw,172,0.4,3.4,44.9,vegetable
leeks dried,10,0.026,0.5,2.4,vegetable
cabbage raw,70,0.3,3.6,16.2,vegetable
sweet red peppers cooked,19,0.1,0.7,4.5,vegetable
sweet red peppers raw,46,0.4,1.5,9,vegetable
cucumber peeled,16,0.2,0.8,2.9,vegetable
tomato cooked,22,0.1,1.2,4.9,vegetable
taro shoots cooked,20,0.1,1,4.5,vegetable
scots kale raw,28,0.4,1.9,5.6,vegetable
artichoke raw,60,0.2,4.2,13.5,vegetable
oriental radish cooked,25,0.4,1,5,vegetable
red cabbage cooked,49,0.2,2.6,11.8,vegetable
mountain yam cooked,119,0.1,2.5,29,vegetable
japanese cabbage,45,0.2,2.4,8.5,vegetable
mung bean sprouts cooked,24,0.1,2.5,4.5,vegetable
scallop squash cooked,29,0.3,1.9,5.9,vegetable
sweet potato baked,103,0.2,2.3,23.6,vegetable
chinese cabbage pe tsai raw,12,0.2,0.9,2.5,vegetable
taro raw,116,0.2,1.6,27.5,vegetable
yam bean jicama,49,0.1,0.9,11.5,vegetable
olives,10,0.9,0.09,0.5,vegetable
tahitian taro raw,55,1.2,3.5,8.6,vegetable
broccoli raw,31,0.3,2.6,6,vegetable
sweet green peppers raw,30,0.3,1.3,6.9,vegetable
chinese cabbage pak choi cooked,20,0.3,2.7,3,vegetable
okra,4,0.082,0.2,0.9,vegetable
beets raw,58,0.2,2.2,13,vegetable
baby zucchini,2,0.089,0.3,0.3,vegetable
onion raw,16,0.048,0.4,3.7,vegetable
romanesco cooked,39,0.4,3.7,7.7,vegetable
yam cooked,158,0.2,2,37.4,vegetable
corn dried,119,3,4.1,18.8,vegetable
cucumber,23,0.2,1,5.4,vegetable
arrowroot,78,0.2,5.1,16.1,vegetable
bamboo shoots cooked,14,0.3,1.8,2.3,vegetable
summer squash raw,42,0.5,3.1,8.7,vegetable
sweet potato raw,112,0.002,2,26.2,vegetable
