Food,Calories,Fat,Protein,Carbohydrate,Category
oats,39,0.7,1.7,6.6,grains
bacon cooked,43,3.1,3.5,0.068,meat
ham,46,2.5,4.6,1,meat
red cabbage cooked,49,0.2,2.6,11.8,vegetable
peach,59,0.4,1.4,14.3,fruit
blueberries,84,0.5,1.1,21.4,fruit
crispy chicken sandwich,350,17.6,14.8,33.2,meat
beef tenderloin steak cooked,374,24,37,0,meat
french fries deep fried,222,10.5,2.4,29.4,grains
pork centre loin chops cooked,328,17.4,40.2,0,meat
fried rice,228,3.2,6.5,43.4,grains
nut cereal,245,5.9,4,46.2,grains
broccoli raab cooked,21,0.4,3.3,2.7,vegetable
pear,101,0.2,0.6,27.1,vegetable
crisped rice bar,113,3.8,1.4,20.4,grains
edamame cooked,189,8.1,18.5,13.8,vegetable
chicken soup,174,6.5,12.4,16.9,meat
mashed potatoes,215,6.8,4,35.5,grains
powerade coca cola,9,0.009,0,2.3,drinks
peas carrots cooked,77,0.7,4.9,16.2,vegetable
gatorade g2 pepsi,2,0.052,0.069,0.6,drinks
cream soda,252,0,0,65.7,drinks
lemon lime soda,151,0,0.3,38.4,drinks
cranberry apple juice,154,0.3,0,38.8,drinks
gooseberries,66,0.9,1.3,15.3,fruit
cranberries,21,0.014,0.2,5.4,fruit
wild raspberries,81,0.4,1.5,18,fruit
